event,model,mask,n_wet,rmse_wet,maxwd_r2,csi,peak_diff,rmse_area_full
p10,lf_only,train_wet,239482,0.107112,0.996296,0.998108,0.018033,0.099412
p10,lf_only,official_extrap_wet,290458,0.116139,0.996797,0.985805,0.019684,0.099412
p10,global,train_wet,239482,1.666336,0.103553,0.984362,1.647514,1.084665
p10,global,official_interp_wet,239482,1.666336,0.103553,0.984362,1.647514,1.084665
p10,global,official_extrap_wet,290458,1.534066,0.441225,0.869474,1.428203,1.084665
p10,global,all_cells,581061,1.084665,0.744117,0.867375,0.714200,1.084665
p10,rule,train_wet,239482,0.906502,0.734700,0.995373,0.756744,0.608918
p10,rule,official_interp_wet,239482,0.906502,0.734700,0.995373,0.756744,0.608918
p10,rule,official_extrap_wet,290458,0.861118,0.823935,0.879200,0.693765,0.608918
p10,rule,all_cells,581061,0.608918,0.919357,0.877078,0.347073,0.608918
p11,lf_only,train_wet,239482,0.092323,0.997447,0.999236,0.005527,0.096341
p11,lf_only,official_extrap_wet,290458,0.094267,0.998051,0.995964,0.008508,0.096341
p11,global,train_wet,239482,2.494490,-0.864099,0.979667,2.455350,1.632925
p11,global,official_interp_wet,239482,2.494490,-0.864099,0.979667,2.455350,1.632925
p11,global,official_extrap_wet,290458,2.309593,-0.169918,0.807662,2.184324,1.632925
p11,global,all_cells,581061,1.632925,0.543949,0.807662,1.091889,1.632925
p11,rule,train_wet,239482,1.678408,0.156081,0.991963,1.518279,1.123793
p11,rule,official_interp_wet,239482,1.678408,0.156081,0.991963,1.518279,1.123793
p11,rule,official_extrap_wet,290458,1.589482,0.445890,0.817825,1.411711,1.123793
p11,rule,all_cells,581061,1.123793,0.784000,0.817825,0.705679,1.123793
